time,action
134.4,RUNNING
134.8,RUNNING
135.2,RUNNING
135.6,RUNNING
136.0,RUNNING
136.4,RUNNING
136.8,RUNNING
137.2,RUNNING
137.6,RUNNING
138.0,WARNING
138.4,WARNING
138.8,WARNING
139.2,WARNING
139.6,WARNING
140.0,WARNING
140.4,WARNING
140.8,WARNING
141.2,WARNING
141.6,WARNING
142.0,WARNING
142.4,WARNING
142.8,WARNING
143.2,RUNNING
143.6,RUNNING
144.0,RUNNING
144.4,RUNNING
144.8,RUNNING
145.2,RUNNING
145.6,RUNNING
146.0,RUNNING
146.4,WARNING
146.8,WARNING
147.2,WARNING
147.6,WARNING
148.0,WARNING
148.4,WARNING
148.8,WARNING
149.2,WARNING
149.6,WARNING
150.0,WARNING
150.4,WARNING
150.8,WARNING
151.2,WARNING
151.6,RUNNING
152.0,RUNNING
152.4,RUNNING
152.8,RUNNING
153.2,RUNNING
153.6,RUNNING
154.0,RUNNING
154.4,RUNNING
154.8,RUNNING
155.2,WARNING
155.6,WARNING
156.0,WARNING
156.4,WARNING
156.8,WARNING
157.2,WARNING
157.6,WARNING
158.0,WARNING
158.4,WARNING
158.8,WARNING
159.2,WARNING
159.6,WARNING
160.0,RUNNING
160.4,RUNNING
160.8,RUNNING
161.2,RUNNING
161.6,RUNNING
162.0,RUNNING
162.4,RUNNING
162.8,RUNNING
163.2,RUNNING
163.6,WARNING
164.0,WARNING
164.4,WARNING
164.8,WARNING
165.2,WARNING
165.6,WARNING
166.0,WARNING
166.4,WARNING
166.8,WARNING
167.2,WARNING
167.6,WARNING
168.0,WARNING
168.4,WARNING
168.8,WARNING
169.2,WARNING
169.6,RUNNING
170.0,RUNNING
170.4,RUNNING
170.8,RUNNING
171.2,RUNNING
171.6,RUNNING
172.0,RUNNING
172.4,RUNNING
172.8,RUNNING
173.2,WARNING
173.6,WARNING
174.0,WARNING
174.4,WARNING
174.8,WARNING
175.2,WARNING
175.6,WARNING
176.0,WARNING
176.4,WARNING
176.8,WARNING
177.2,RUNNING
177.6,RUNNING
178.0,RUNNING
178.4,RUNNING
178.8,RUNNING
179.2,RUNNING
179.6,RUNNING
180.0,RUNNING
180.4,RUNNING
180.8,RUNNING
181.2,RUNNING
181.6,WARNING
182.0,WARNING
182.4,WARNING
182.8,WARNING
183.2,WARNING
183.6,WARNING
184.0,WARNING
184.4,WARNING
184.8,WARNING
185.2,WARNING
185.6,WARNING
186.0,WARNING
186.4,RUNNING
186.8,RUNNING
187.2,RUNNING
187.6,RUNNING
188.0,RUNNING
188.4,RUNNING
188.8,RUNNING
189.2,RUNNING
189.6,RUNNING
